
==============================================================================
ASSIGNMENTS  (graded work + graded quizzes)  (233)
     266433  10.7 - 10.8 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266433
     266435  11.1 - 11.3 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266435
     266437  11.4 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266437
     266439  11.5 and 11.6 Daily Homework Practice                         https://loyolahs.instructure.com/courses/6624/assignments/266439
     266441  13.1 - 13.4 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266441
     266443  13.5 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266443
     266445  14.1 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266445
     266447  14.3 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266447
     266449  14.5 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266449
     266451  14.6 and 14.7 Daily Homework Practice                         https://loyolahs.instructure.com/courses/6624/assignments/266451
     266453  15.1 to 15.2 Daily Homework Practice                          https://loyolahs.instructure.com/courses/6624/assignments/266453
     266454  15.3 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266454
     266456  15.4 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266456
     266458  15.5 - 15.6 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266458
     266460  15.7 Daily Homework Practice                                  https://loyolahs.instructure.com/courses/6624/assignments/266460
     266462  16.1 - 16.2 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266462
     266464  16.10 and 16.5 Daily Homework Practice                        https://loyolahs.instructure.com/courses/6624/assignments/266464
     266465  16.4, pH Calculations, Daily Homework Practice                https://loyolahs.instructure.com/courses/6624/assignments/266465
     266468  16.6, Daily Homework, Weak Acids                              https://loyolahs.instructure.com/courses/6624/assignments/266468
     266469  16.7 Daily Homework, Weak Bases and buffers                   https://loyolahs.instructure.com/courses/6624/assignments/266469
     266471  19.2 and 19.3 Daily Homework Practice                         https://loyolahs.instructure.com/courses/6624/assignments/266471
     266473  19.4 to 19.6 Daily Homework Practice                          https://loyolahs.instructure.com/courses/6624/assignments/266473
     266476  2.1, atomic structure part 1, Daily Homework Practice         https://loyolahs.instructure.com/courses/6624/assignments/266476
     266478  2.2-2.5, atomic structure part 2, Daily Homework Practice     https://loyolahs.instructure.com/courses/6624/assignments/266478
     266479  2.2-2.5, atomic structure part 3, Daily Homework Practice     https://loyolahs.instructure.com/courses/6624/assignments/266479
     266488  21, nuclear reactions, Daily Homework Practice                https://loyolahs.instructure.com/courses/6624/assignments/266488
     266489  22 Organic compounds Daily Homework Practice                  https://loyolahs.instructure.com/courses/6624/assignments/266489
     266492  3.1 Balancing Equations Daily Homework Practice               https://loyolahs.instructure.com/courses/6624/assignments/266492
     266494  3.2 Types of Reactions Daily Homework Practice                https://loyolahs.instructure.com/courses/6624/assignments/266494
     266496  3.3 to 3.4 Daily Homework Practice                            https://loyolahs.instructure.com/courses/6624/assignments/266496
     266500  3.5 Daily Homework Practice                                   https://loyolahs.instructure.com/courses/6624/assignments/266500
     266502  3.6, Stoichiometry, Daily Homework Practice                   https://loyolahs.instructure.com/courses/6624/assignments/266502
     266503  3.7 Daily Homework Practice                                   https://loyolahs.instructure.com/courses/6624/assignments/266503
     266507  4.1 and 4.3 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266507
     266509  4.2 part 2, double displacement reactions                     https://loyolahs.instructure.com/courses/6624/assignments/266509
     266512  4.3 Daily Homework Practice                                   https://loyolahs.instructure.com/courses/6624/assignments/266512
     266514  4.5 and 4.6 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266514
     266516  5.1 to 5.5 Daily Homework Practice                            https://loyolahs.instructure.com/courses/6624/assignments/266516
     266522  6.1 - 6.4 Daily Homework Practice                             https://loyolahs.instructure.com/courses/6624/assignments/266522
     266524  6.5 Daily Homework Practice                                   https://loyolahs.instructure.com/courses/6624/assignments/266524
     266526  7.2-7.4 Daily Homework Practice                               https://loyolahs.instructure.com/courses/6624/assignments/266526
     266529  8.2, 8.6-8.8, Daily Homework Practice                         https://loyolahs.instructure.com/courses/6624/assignments/266529
     266531  9.1 - 9.2 Daily Homework Practice                             https://loyolahs.instructure.com/courses/6624/assignments/266531
     266532  9.1 - 9.3 Daily Homework Practice                             https://loyolahs.instructure.com/courses/6624/assignments/266532
     266585  Homework 19.7                                                 https://loyolahs.instructure.com/courses/6624/assignments/266585
     266593  Homework, 8.1, 8.34, 8.4, 8.5                                 https://loyolahs.instructure.com/courses/6624/assignments/266593
     266608  Nomenclature Daily Homework Practice                          https://loyolahs.instructure.com/courses/6624/assignments/266608
     266485  20.3 - 20.4 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266485
     266620  20.1 - 20.2 Daily Homework Practice                           https://loyolahs.instructure.com/courses/6624/assignments/266620
     266643  Showed Dr. Barnese Snap! Entropy                              https://loyolahs.instructure.com/courses/6624/assignments/266643
     266619  Post-lab Quiz #11                                             https://loyolahs.instructure.com/courses/6624/assignments/266619
     266615  Post-Lab Quiz #7                                              https://loyolahs.instructure.com/courses/6624/assignments/266615
     266609  Post-Lab Quiz #1                                              https://loyolahs.instructure.com/courses/6624/assignments/266609
     266611  Post-Lab Quiz #3                                              https://loyolahs.instructure.com/courses/6624/assignments/266611
     266617  Post-Lab quiz #9                                              https://loyolahs.instructure.com/courses/6624/assignments/266617
     266618  Post-lab Quiz #10                                             https://loyolahs.instructure.com/courses/6624/assignments/266618
     266616  Post-Lab quiz #8                                              https://loyolahs.instructure.com/courses/6624/assignments/266616
     266612  Post-Lab Quiz #4                                              https://loyolahs.instructure.com/courses/6624/assignments/266612
     266613  Post-Lab Quiz #5                                              https://loyolahs.instructure.com/courses/6624/assignments/266613
     266614  Post-Lab Quiz #6                                              https://loyolahs.instructure.com/courses/6624/assignments/266614
     266610  Post-Lab Quiz #2                                              https://loyolahs.instructure.com/courses/6624/assignments/266610
     266596  Lab 1                                                         https://loyolahs.instructure.com/courses/6624/assignments/266596
     266603  Lab 6                                                         https://loyolahs.instructure.com/courses/6624/assignments/266603
     266604  Lab 7                                                         https://loyolahs.instructure.com/courses/6624/assignments/266604
     266594  Ice Cream Lab                                                 https://loyolahs.instructure.com/courses/6624/assignments/266594
     266601  Lab 4                                                         https://loyolahs.instructure.com/courses/6624/assignments/266601
     266636  Safety Contract                                               https://loyolahs.instructure.com/courses/6624/assignments/266636
     266605  Lab 8                                                         https://loyolahs.instructure.com/courses/6624/assignments/266605
     266606  Lab 9                                                         https://loyolahs.instructure.com/courses/6624/assignments/266606
     266599  Lab 2                                                         https://loyolahs.instructure.com/courses/6624/assignments/266599
     266602  Lab 5                                                         https://loyolahs.instructure.com/courses/6624/assignments/266602
     266597  Lab 10                                                        https://loyolahs.instructure.com/courses/6624/assignments/266597
     266600  Lab 3                                                         https://loyolahs.instructure.com/courses/6624/assignments/266600
     266598  Lab 11                                                        https://loyolahs.instructure.com/courses/6624/assignments/266598
     266550  Equilibrium Lab                                               https://loyolahs.instructure.com/courses/6624/assignments/266550
     266549  Entropy Lab                                                   https://loyolahs.instructure.com/courses/6624/assignments/266549
     266623  Quiz #11 (Chapter 15)                                         https://loyolahs.instructure.com/courses/6624/assignments/266623
     266622  Quiz #1 1.1 - 1.5                                             https://loyolahs.instructure.com/courses/6624/assignments/266622
     266627  Quiz #2 Dimensional Analysis                                  https://loyolahs.instructure.com/courses/6624/assignments/266627
     266628  Quiz #3 inorganic nomenclature                                https://loyolahs.instructure.com/courses/6624/assignments/266628
     266645  quiz #4                                                       https://loyolahs.instructure.com/courses/6624/assignments/266645
     266629  Quiz #5, ion review                                           https://loyolahs.instructure.com/courses/6624/assignments/266629
     266630  Quiz #6 Chapter 4                                             https://loyolahs.instructure.com/courses/6624/assignments/266630
     266631  Quiz #7 (ch. 6)                                               https://loyolahs.instructure.com/courses/6624/assignments/266631
     266632  Quiz #8, Chapter 8-9                                          https://loyolahs.instructure.com/courses/6624/assignments/266632
     266624  Quiz #11, chapter 14                                          https://loyolahs.instructure.com/courses/6624/assignments/266624
     266625  Quiz #12, Chapter 16                                          https://loyolahs.instructure.com/courses/6624/assignments/266625
     266626  Quiz #13 - chapter 19                                         https://loyolahs.instructure.com/courses/6624/assignments/266626
     266534  Chapter 10 Quiz #9                                            https://loyolahs.instructure.com/courses/6624/assignments/266534
     266635  SNAP! Quiz                                                    https://loyolahs.instructure.com/courses/6624/assignments/266635
     266536  Chapter 11 Quiz #10                                           https://loyolahs.instructure.com/courses/6624/assignments/266536
     266559  Exam 2 Review - Build On                                      https://loyolahs.instructure.com/courses/6624/assignments/266559
     266560  Exam 2 Review - Not Build On                                  https://loyolahs.instructure.com/courses/6624/assignments/266560
     266564  Exam 3, Chapter 4 review, Build On                            https://loyolahs.instructure.com/courses/6624/assignments/266564
     266565  Exam 3, Chapter 4 review, No Build On                         https://loyolahs.instructure.com/courses/6624/assignments/266565
     266566  Exam 3, Chapter 5 Review, Build On                            https://loyolahs.instructure.com/courses/6624/assignments/266566
     266567  Exam 3, Chapter 5 Review, No Build On                         https://loyolahs.instructure.com/courses/6624/assignments/266567
     266544  Chapters 6 - 9 Review Material Build-On                       https://loyolahs.instructure.com/courses/6624/assignments/266544
     266545  Chapters 6 - 9 Review Material Not Build-On                   https://loyolahs.instructure.com/courses/6624/assignments/266545
     266574  Exam 5 (ch. 14) Review Build On                               https://loyolahs.instructure.com/courses/6624/assignments/266574
     266575  Exam 5 (ch. 14) Review No Build On                            https://loyolahs.instructure.com/courses/6624/assignments/266575
     266639  Semester 1 Final Review                                       https://loyolahs.instructure.com/courses/6624/assignments/266639
     266642  Semester 2 Final Review                                       https://loyolahs.instructure.com/courses/6624/assignments/266642
     266582  Exam 7 (chapters 19, 20, 21) Review                           https://loyolahs.instructure.com/courses/6624/assignments/266582
     266572  Exam 4 Review, No Build On                                    https://loyolahs.instructure.com/courses/6624/assignments/266572
     266571  Exam 4 Review, Build On                                       https://loyolahs.instructure.com/courses/6624/assignments/266571
     266579  Exam 6 Review                                                 https://loyolahs.instructure.com/courses/6624/assignments/266579
     266580  Exam 6 Review (Build On)                                      https://loyolahs.instructure.com/courses/6624/assignments/266580

==============================================================================
CLASSIC QUIZZES  (includes ungraded PRACTICE quizzes)  (0)
==============================================================================

==============================================================================
FILES  (study guides / review PDFs / packets)  (443)
==============================================================================
    3010655  0 Introduction.pdf                                            https://loyolahs.instructure.com/courses/6624/files/3010655
    3010654  1.1 Material classification.pdf                               https://loyolahs.instructure.com/courses/6624/files/3010654
    3010851  1.5 1.6 units sig fig.pdf                                     https://loyolahs.instructure.com/courses/6624/files/3010851
    3010657  1.7 part 1.pdf                                                https://loyolahs.instructure.com/courses/6624/files/3010657
    3010877  1.png                                                         https://loyolahs.instructure.com/courses/6624/files/3010877
    3010682  1a-3.png                                                      https://loyolahs.instructure.com/courses/6624/files/3010682
    3011008  1a-H2O.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011008
    3011038  1a-phosgene.png                                               https://loyolahs.instructure.com/courses/6624/files/3011038
    3010886  1a.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010886
    3010870  1b-1.png                                                      https://loyolahs.instructure.com/courses/6624/files/3010870
    3010737  1b-4.png                                                      https://loyolahs.instructure.com/courses/6624/files/3010737
    3011009  1b-H2O.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011009
    3011037  1b-phosgene.png                                               https://loyolahs.instructure.com/courses/6624/files/3011037
    3010888  1b.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010888
    3010683  1c-3.png                                                      https://loyolahs.instructure.com/courses/6624/files/3010683
    3010771  1c-H2O.png                                                    https://loyolahs.instructure.com/courses/6624/files/3010771
    3011036  1c-phosgene.png                                               https://loyolahs.instructure.com/courses/6624/files/3011036
    3010889  1c.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010889
    3010684  1d-3.png                                                      https://loyolahs.instructure.com/courses/6624/files/3010684
    3011010  1d-H2O.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011010
    3011011  1d-phosgene.png                                               https://loyolahs.instructure.com/courses/6624/files/3011011
    3010766  1d.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010766
    3010849  2.3 Atomic Symbol.pdf                                         https://loyolahs.instructure.com/courses/6624/files/3010849
    3010852  2.4 Atomic Weight.pdf                                         https://loyolahs.instructure.com/courses/6624/files/3010852
    3010900  2.png                                                         https://loyolahs.instructure.com/courses/6624/files/3010900
    3011012  2a-ammonia.png                                                https://loyolahs.instructure.com/courses/6624/files/3011012
    3011013  2a-peroxide.png                                               https://loyolahs.instructure.com/courses/6624/files/3011013
    3010767  2a.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010767
    3011014  2b-ammonia.png                                                https://loyolahs.instructure.com/courses/6624/files/3011014
    3010685  2b-peroxide.png                                               https://loyolahs.instructure.com/courses/6624/files/3010685
    3010786  2b.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010786
    3011015  2c-ammonia.png                                                https://loyolahs.instructure.com/courses/6624/files/3011015
    3011016  2c-peroxide.png                                               https://loyolahs.instructure.com/courses/6624/files/3011016
    3010917  2c.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010917
    3011018  2d-ammonia.png                                                https://loyolahs.instructure.com/courses/6624/files/3011018
    3010878  2d-peroxide.png                                               https://loyolahs.instructure.com/courses/6624/files/3010878
    3010768  2d.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010768
    3010686  3-1.png                                                       https://loyolahs.instructure.com/courses/6624/files/3010686
    3010909  3.png                                                         https://loyolahs.instructure.com/courses/6624/files/3010909
    3011019  3a-methane.png                                                https://loyolahs.instructure.com/courses/6624/files/3011019
    3011017  3a-N2.png                                                     https://loyolahs.instructure.com/courses/6624/files/3011017
    3010769  3a.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010769
    3011020  3b-methane.png                                                https://loyolahs.instructure.com/courses/6624/files/3011020
    3011021  3b-N2.png                                                     https://loyolahs.instructure.com/courses/6624/files/3011021
    3010943  3b.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010943
    3010687  3c-methane.png                                                https://loyolahs.instructure.com/courses/6624/files/3010687
    3011022  3c-N2.png                                                     https://loyolahs.instructure.com/courses/6624/files/3011022
    3010958  3c.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010958
    3011023  3d-methane.png                                                https://loyolahs.instructure.com/courses/6624/files/3011023
    3011024  3d-N2.png                                                     https://loyolahs.instructure.com/courses/6624/files/3011024
    3010902  3d.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010902
    3010743  4.png                                                         https://loyolahs.instructure.com/courses/6624/files/3010743
    3011026  4a-HCN.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011026
    3011025  4a-PF3.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011025
    3010906  4a.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010906
    3011028  4b-HCN.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011028
    3011027  4b-PF3.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011027
    3010916  4b.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010916
    3011030  4c-HCN.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011030
    3011029  4c-PF3.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011029
    3010744  4c.png                                                        https://loyolahs.instructure.com/courses/6624/files/3010744
    3011032  4d-HCN.png                                                    https://loyolahs.instructure.com/courses/6624/files/3011032
